rank,Latitude,Longitude,Name of City,Country,2021 Population,2020 Population,Growth,Population Difference,Population Change,SO2,NO2,PM10,PM2.5,O3,CO
1,35.6828387,139.7594549,Tokyo,Japan,37339804,37393128,-0.0014,53324,declined,13.95,94.59,29.18,26.07,0,534.06
2,28.6517178,77.2219388,Delhi,India,31181376,30290936,0.0294,890440,grew,11.92,14.05,75.16,50.91,88.69,547.41
3,31.2322758,121.4692071,Shanghai,China,27795702,27058480,0.0272,737222,grew,19.31,18.85,38.43,21.04,67.95,373.84
4,-23.5506507,-46.6333824,Sao Paulo,Brazil,22237472,22043028,0.0088,194444,grew,5.19,10.88,17.71,10.8,120.16,377.18
5,19.4326296,-99.1331785,Mexico City,Mexico,21918936,21782378,0.0063,136558,grew,26.46,7.28,28.5,24.45,191.69,567.44
6,23.7861979,90.4026151,Dhaka,Bangladesh,21741090,21005860,0.035,735230,grew,5.07,44.55,179.8,144.65,13.59,1655.58
7,30.0443879,31.2357257,Cairo,Egypt,21322750,20900604,0.0202,422146,grew,23.84,16.62,10.54,4.51,72.24,273.71
8,39.906217,116.3912757,Beijing,China,20896820,20462610,0.0212,434210,grew,74.39,72.66,136.85,95.05,0.01,1255.04
9,19.0759899,72.8773928,Mumbai,India,20667656,20411274,0.0126,256382,grew,63.9,27.08,118.33,88.84,100.14,847.82
10,34.6198813,135.490357,Osaka,Japan,19110616,19165340,-0.0029,54724,declined,4.53,17.99,8.84,7.49,58.65,323.77
11,24.8546842,67.0207055,Karachi,Pakistan,16459472,16093786,0.0227,365686,grew,23.84,97.33,292.21,220.17,0.03,3631.59
12,29.5647398,106.5478767,Chongqing,China,16382376,15872179,0.0321,510197,grew,34.81,41.13,63.83,54,22.53,660.9
13,41.0096334,28.9651646,Istanbul,Turkey,15415197,15190336,0.0148,224861,grew,6.32,4.88,9.03,6.69,80.82,280.38
14,-34.6075682,-58.4370894,Buenos Aires,Argentina,15257673,15153729,0.0069,103944,grew,16.93,10.45,56.48,11.25,44.7,290.39
15,22.5414185,88.3576912,Kolkata,India,14974073,14850066,0.0084,124007,grew,28.85,77.46,400.57,322.4,6.17,3177.64
16,-4.3217055,15.3125974,Kinshasa,DR Congo,14970460,14342439,0.0438,628021,grew,5.13,26.73,123.28,45.98,0.43,1415.25
17,6.4550575,3.3941795,Lagos,Nigeria,14862111,14368332,0.0344,493779,grew,4.29,9.6,54.54,23.17,10.55,907.9
18,14.5907332,120.9809674,Manila,Philippines,14158573,13923452,0.0169,235121,grew,30.04,48.67,62.3,37.53,10.55,1201.63
19,39.0856735,117.1951073,Tianjin,China,13794450,13589078,0.0151,205372,grew,44.35,44.55,75.62,44.19,31.83,674.25
20,23.1301964,113.2592945,Guangzhou,China,13635397,13301532,0.0251,333865,grew,30.04,54.15,107.02,98.17,10.82,894.55
21,-22.9110137,-43.2093727,Rio de Janeiro,Brazil,13544462,13458075,0.0064,86387,grew,15.5,22.28,28.44,9.4,117.3,487.33
22,31.5656822,74.3141829,Lahore,Pakistan,13095166,12642423,0.0358,452743,grew,4.65,40.78,259.13,183.55,1.04,1922.61
23,12.9767936,77.590082,Bangalore,India,12764935,12326532,0.0356,438403,grew,13.95,34.62,42.7,35.22,62.94,754.36
24,55.7504461,37.6174943,Moscow,Russia,12593252,12537954,0.0044,55298,grew,22.17,38.04,7.79,5.43,31.83,337.12
25,22.555454,114.0543297,Shenzhen,China,12591696,12356820,0.019,234876,grew,69.62,54.84,139.01,124.15,18.24,854.49
26,13.0836939,80.270186,Chennai,India,11235018,10971108,0.0241,263910,grew,25.51,90.48,205.67,159.68,0.28,2403.26
27,4.6533326,-74.083652,Bogota,Colombia,11167392,10978360,0.0172,189032,grew,2,13.02,14.13,11.44,66.52,500.68
28,48.8588897,2.320041,Paris,France,11078546,11017230,0.0056,61316,grew,6.44,57.58,47.01,42.21,4.16,747.68
29,-6.1753942,106.827183,Jakarta,Indonesia,10915364,10770487,0.0135,144877,grew,11.8,30.16,111.13,58.45,0,2563.48
30,-12.0621065,-77.0365256,Lima,Peru,10882757,10719188,0.0153,163569,grew,7.57,13.71,38.74,22.67,86.55,433.92
31,13.7525438,100.4934734,Bangkok,Thailand,10722815,10539415,0.0174,183400,grew,28.37,94.59,322.52,240.04,7.06,3124.24
32,17.360589,78.4740613,Hyderabad,India,10268653,10004144,0.0264,264509,grew,42.44,101.45,221.7,188.17,0.04,3017.43
33,37.5666791,126.9782914,Seoul,South Korea,9967677,9963452,0.0004,4225,grew,30.52,31.19,21.43,15.68,41.49,433.92
34,35.1851045,136.8998438,Nagoya,Japan,9565642,9552132,0.0014,13510,grew,5.13,38.73,10.15,9.03,23.25,327.11
35,51.5073219,-0.1276474,London,United Kingdom,9425622,9304016,0.0131,121606,grew,7.87,33.59,8.84,8.1,13.77,403.88
36,30.6598628,104.0633717,Chengdu,China,9305116,9135768,0.0185,169348,grew,25.99,62.38,166.7,116.15,0.05,1335.14
37,35.6892523,51.3896004,Tehran,Iran,9259009,9134708,0.0136,124301,grew,244.14,367.4,175.05,155.3,0,3578.19
38,32.0437711,118.7788734,Nanjing,China,9143980,8847372,0.0335,296608,grew,24.08,65.12,102.92,81.88,12.88,761.03
39,10.7715512,106.6983801,Ho Chi Minh City,Vietnam,8837544,8602317,0.0273,235227,grew,49.11,56.89,103.92,83.78,0.2,1668.93
40,-8.8272699,13.2439512,Luanda,Angola,8631876,8329798,0.0363,302078,grew,5.66,8.65,21.01,5.75,9.92,460.63
41,30.5951051,114.2999353,Wuhan,China,8473405,8364977,0.013,108428,grew,52.93,89.11,162.29,137.2,2.84,1054.76
